"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_Lower Range"
"07/09/2024 11:55:26:676 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"253","false","50","false","200","40","50","true","0","143","true","30","500","31","9","23","1","23","8"
"233","false","50","false","200","40","50","true","0","139","true","48","500","32","1","31","0","31","1"
"248","false","50","false","200","40","50","true","0","142","true","42","500","25","4","24","3","24","1"
"276","false","50","false","200","40","50","true","0","146","true","49","500","0","0","0","0","0","0"
"240","false","50","false","200","40","50","true","0","140","true","49","500","27","1","26","0","26","1"
"272","false","50","false","200","40","50","true","0","146","true","42","500","46","5","42","1","42","4"
"252","false","50","false","200","40","50","true","0","142","true","49","500","0","0","0","0","0","0"
"249","false","50","false","200","40","50","true","0","142","true","44","500","30","4","29","3","29","1"
"261","false","50","false","200","40","50","true","0","144","true","44","500","39","5","34","0","34","5"
"260","false","50","false","200","40","50","true","0","144","true","42","500","41","7","34","0","34","7"
"262","false","50","false","200","40","50","true","0","144","true","46","500","41","3","38","0","38","3"
"284","false","50","false","200","40","50","true","0","148","true","42","374","50","8","42","0","42","8"
"283","false","50","false","200","40","50","true","0","148","true","30","409","50","20","30","0","30","20"
"268","false","50","false","200","40","50","true","0","145","true","46","500","0","0","0","0","0","0"
"251","false","50","false","200","40","50","true","0","142","true","48","500","0","1","0","1","0","0"
"267","false","50","false","200","40","50","true","0","145","true","44","500","0","0","0","0","0","0"
"250","false","50","false","200","40","50","true","0","142","true","46","500","25","2","24","1","24","1"
"255","false","50","false","200","40","50","true","0","143","true","44","500","19","2","17","0","17","2"
"263","false","50","false","200","40","50","true","0","144","true","48","500","37","2","35","0","35","2"
"254","false","50","false","200","40","50","true","0","143","true","42","500","16","3","13","0","13","3"
"265","false","50","false","200","40","50","true","0","145","true","30","500","15","1","14","0","14","1"
"266","false","50","false","200","40","50","true","0","145","true","42","500","0","0","0","0","0","0"
"277","false","50","false","200","40","50","true","0","147","true","30","500","30","14","20","4","20","10"
"270","false","50","false","200","40","50","true","0","145","true","49","500","0","0","0","0","0","0"
"292","false","50","false","200","40","50","true","0","149","true","46","500","0","0","0","0","0","0"
"279","false","50","false","200","40","50","true","0","147","true","44","500","30","4","28","2","28","2"
"285","false","50","false","200","40","50","true","0","148","true","44","432","50","6","44","0","44","6"
"269","false","50","false","200","40","50","true","0","145","true","48","500","0","0","0","0","0","0"
"278","false","50","false","200","40","50","true","0","147","true","42","500","29","5","27","3","27","2"
"273","false","50","false","200","40","50","true","0","146","true","44","500","10","3","9","2","9","1"
"295","false","50","false","200","40","50","true","0","150","true","30","500","39","9","30","0","30","9"
"256","false","50","false","200","40","50","true","0","143","true","46","500","4","1","3","0","3","1"
"258","false","50","false","200","40","50","true","0","143","true","49","500","6","1","5","0","5","1"
"289","false","50","false","200","40","50","true","0","149","true","30","500","0","0","0","0","0","0"
"274","false","50","false","200","40","50","true","0","146","true","46","500","9","3","8","2","8","1"
"264","false","50","false","200","40","50","true","0","144","true","49","500","11","1","11","1","11","0"
"307","false","50","false","200","40","50","true","0","152","true","30","500","44","14","30","0","30","14"
"301","false","50","false","200","40","50","true","0","151","true","30","500","30","13","26","9","26","4"
"294","false","50","false","200","40","50","true","0","149","true","49","500","0","0","0","0","0","0"
"275","false","50","false","200","40","50","true","0","146","true","48","500","0","1","0","1","0","0"
"293","false","50","false","200","40","50","true","0","149","true","48","500","0","0","0","0","0","0"
"302","false","50","false","200","40","50","true","0","151","true","42","500","45","8","40","3","40","5"
"308","false","50","false","200","40","50","true","0","152","true","42","500","48","6","42","0","42","6"
"305","false","50","false","200","40","50","true","0","151","true","48","500","11","2","9","0","9","2"
"286","false","50","false","200","40","50","true","0","148","true","46","500","36","4","32","0","32","4"
"280","false","50","false","200","40","50","true","0","147","true","46","500","10","2","10","2","10","0"
"282","false","50","false","200","40","50","true","0","147","true","49","500","0","0","0","0","0","0"
"296","false","50","false","200","40","50","true","0","150","true","42","500","40","2","38","0","38","2"
"303","false","50","false","200","40","50","true","0","151","true","44","500","47","6","42","1","42","5"
"290","false","50","false","200","40","50","true","0","149","true","42","500","0","0","0","0","0","0"
"309","false","50","false","200","40","50","true","0","152","true","44","500","48","4","44","0","44","4"
"313","false","50","false","200","40","50","true","0","153","true","30","500","41","13","30","2","30","11"
"287","false","50","false","200","40","50","true","0","148","true","48","500","30","2","28","0","28","2"
"291","false","50","false","200","40","50","true","0","149","true","44","500","0","0","0","0","0","0"
"324","false","50","false","200","40","50","true","0","154","true","49","500","0","0","0","0","0","0"
"319","false","50","false","200","40","50","true","0","154","true","30","500","0","0","0","0","0","0"
