"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Parameterization.nlogo"
"Parameterize max turn angle"
"06/11/2024 14:08:18:285 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","Detect-Dist-Food","see-wind-arrows","pen","Size-Bird","TotalTimeSpentZigZagging","Length-Odor-Trails","ZigZagAngle","Sep-Vision-Interdependent","TimeUpWind","TimeZigZagging","N-Birds","JitterOdor","Step","minimum-separation","Detection-Distance","weight-flock-crosswind","communicate","Olfaction-Threshold","Seed","max-separate-turn","max-align-cohere-turn","[step]","((count turtles with [did-find-food = 1]) / N-Birds) * 100"
"199","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","1","20","440","100"
"202","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","1.5","10","461","100"
"196","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","0.5","40","500","84"
"204","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","1.5","40","390","100"
"207","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","2","20","418","100"
"203","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","1.5","20","463","100"
"193","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","0.5","1","500","72"
"208","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","2","40","423","100"
"185","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","1.5","1","500","44"
"210","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","14","0.5","10","500","62"
"197","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","1","1","500","70"
"189","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","2","1","500","46"
"206","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","2","10","500","86"
